channel_id,subscribers,avg_views_sub,avg_30days_view,week_upload
UC-bMVp6S3rlmG7z31BLtupQ,12800,0.5673515625000001,7113.64,0.703154
UC-boTt0RfKa3zsi8PuoN_rA,6790,0.5959025878392594,2000.57,0.336887
UC-bpFzgnBe6uy-Mi2I7C6lw,41800,0.687476076555024,22177.3,0.729885
UC-bqw5K_bc5w5nko97lCbeA,17900,1.3767206703910615,2849.5,0.570248
UC-bw-h2LOJLd571jB69jVEg,107000,1.8708841121495328,44863.6,0.115942
UC-cK0fl5r0F0WKPxGvQulgQ,111000,0.56707293007293,310654,1.00888
UC-cSbldcC9zzFNmF-qGxVYw,16700,6.927675759591927,672.857,0.135747
UC-deqx7nwzcJzRxQjUtMPiA,24500,0.507425850340136,2800.8,1.356
UC-dmSMXFdiPUfqFNONHqZBw,75100,4.6638757518710685,298410,0.346821
UC-e35OZ3Swttxc68JFrpFnA,26200,2.6119777931991672,40785,3.64
UC-eTb9jMM-qnz6w1LQiYxBw,38700,2.4423514211886306,151281,0.517413
UC-eVrIVw9RLjSLGG8VmN2_w,7850,1.1046438911407064,8701,2.3125
UC-ehnem-k8Z9mXeCykuZkag,90200,1.3265880418992277,104280,1.15385
UC-esRaEe53pC1UfLu0yad3Q,9770,1.250371886728079,1516,0.695652
UC-fTzt4Ld7IVhlLk0iP-7cQ,17800,0.3946408507223114,7140.11,0.557439
UC-fbfzGmmci1ZDB6yRkt2AA,5630,1.758449632073078,9817.46,0.382353
UC-fkk1DJYHroKtt-C_I_9Eg,6330,0.683464981569247,4368.29,1.59211
UC-fkqikZD5nPNfPWsIvkz0g,24900,0.9017282463186077,11238.8,0.25256
UC-fowGyxbuwEMvmeLitbFPQ,198000,0.7150228758169934,207125,1.11765
UC-g2wvDY6FwUOxMAveT0MgA,11700,0.35896011396011396,3872.87,0.298781
UC-gQrUNu6L6Cudb4T1ioobA,60500,4.864597245179064,236818,0.630435
UC-hEIhofuvQaSosf_dHxlGg,15000,0.4495586206896552,7495.38,3.91262
UC-hZbUU_8H_EgF_GsC9dVMw,35600,2.816319256102286,52593.3,0.152062
UC-hZw14URZrz8rjDNqLepWA,20800,2.4559134615384615,32245.9,0.89916
UC-hzCAM5FOQO6IeLTLtndyQ,5590,0.22983711514923266,406.143,0.316038
UC-i2CYHvScX1It3noNbhWxw,37600,1.5752296905222436,56433.2,0.736111
UC-i8HXF6fezJHVLqfbh_qMQ,52100,0.397936660268714,6282.33,0.337766
UC-iJgiHZ0joj2cQWpszkqPw,77600,0.21158865979381442,17933.4,4.24752
UC-iXKiybQQxLwuzwfxPV4iA,5510,1.7296062495068254,322,0.166667
UC-i_1wXNVaz7DZtsY0rXSyg,4920,1.3266042392566781,1189.33,0.103044
UC-if2NqMPJeb4qus8enDkIg,4690,1.0476545842217484,3346.9,0.407942
UC-j-2d_D4tGUngT6PWJ84_w,33700,0.5862700296735904,19757.3,0.3
UC-j8Op7fKBwFDkvYeF7TVSA,16300,0.291480572597137,1730.75,0.92
UC-jHB5e-6LF-yz0kMCTZWdg,250000,0.2265656,56641.4,3.52507
UC-jLxMY1NVl8k4zT-lDiA8Q,7550,0.7234316676700783,2161.67,0.476636
UC-jWE9zIvKZ7C7jNYUQ3VaA,8350,0.2747883543258311,795.222,0.776596
UC-js4h8OQ30WxrFWGym8LUQ,4790,0.21154818151851443,1001.52,0.165414
UC-jzHYEMrTILNBmsIVlWyzg,5140,4.0024059662775615,16622.5,1.44737
UC-kFNV7f0e1hURPkYWWP_Nw,33500,5.343748982360923,194038,2.11111
UC-kML0CG86wg2u7BggA_rDw,42100,0.9284136409908381,27062.2,0.0995025
UC-l0b4GO6iEntt-Dh_jwJqw,24600,0.49993089430894305,14062.9,0.479675
UC-lH0RYSHxs3sgXzoYdIYjA,4730,0.6436512871533392,1528,1.49505
UC-lhFye4rnQ3ri-alWf662g,6770,0.7806113929741186,4663.62,0.709677
UC-llI8ILWS9XxHZDcwkUMyg,26500,0.5825022771633052,16211.9,0.652174
UC-lmw0wtL9Kje8NCZvsBU-g,4240,11.419629898403482,200.5,0.0758929
UC-lrSvxEuMNB77ZZDsjyE1w,32800,0.2015701219512195,6060.05,0.584034
UC-m8W4xk0aQ9Mb_6qvQ59SQ,18800,0.3463491295938104,3325,3.05882
UC-mSodQJJi4ExGFkhHNw29w,67400,2.9025439805002122,6686,0.633929
UC-mTngidALJqbjUcTyZMZ8Q,180000,0.8329149572649573,152327,0.737589
UC-mvTI0H8QQPwXXF9P9Wmkw,255000,0.32712431372549017,83416.7,2.5
UC-oDGYtdqfatTC_yFi8UBIw,10900,0.5919113149847095,7644.57,0.486364
UC-oco9PUPKgZGEf2-KO6gEg,5040,0.25921910430839,1087,0.70068
UC-oo-DlXVXzexre774Ry1Gw,6060,0.35514089870525517,1263.23,0.180751
UC-oyaiXwIMrvI3k7eIqZh-g,23800,0.6418382352941177,34713.3,0.181619
UC-pXaRbTkhOnOUjsv96QHMg,457000,0.30589482129832235,139794,2.59864
UC-peZE5j3ub1CNm4reds32w,4300,1.1659922480620155,423.5,0.313688
UC-ppJyJXBYifrDnpTYY98EQ,42100,0.2857498020585907,12030.1,2.51681
UC-qRVmj6wQtQZq2VdZ6FnxA,37100,2.450503144654088,90913.7,4.03774
UC-qYkzKFdekoEniRu_FS3zg,281595,1.0131400835177535,104482,0.834286
UC-qvi1_0Yuz6n9NnfNe7rCw,4960,4.966064228110599,3536.67,0.219178
UC-qxTvyTRMjOKUL4QR0C-Bw,7700,0.6719437229437228,3238.75,0.794118
UC-qykWiuRWb8PPvG3Q_999Q,9020,1.0507609352953033,7525.33,0.292208
UC-qzKG1DZKiq3TmdGHI0FUg,24498,0.38315372683484367,217,0.490637
UC-rATcusEc_uqpcuZe_TwJA,12600,0.5832666666666666,6967.03,5.95238
UC-rLzhCLe6fuvivd4ajWn-w,7450,0.3225090345895715,2129.5,0.435484
UC-rWRU8Lp9g0bmO9LjKRJNQ,13100,0.2875790621592148,3622.6,7.90426
UC-rkd7hVRYixz73PYudesFA,10300,4.923527508090615,43673.5,1.09836
UC-s-nHpmwdybhYdKpH_ZPwA,37900,0.5670739696115004,21009.5,2.66667
UC-s0mvrk-F3mVc5LwViUD1w,5350,1.030467289719626,5761.19,2.875
UC-sGdpCc3PwQQk7tlw8Tqkw,24800,1.9523274193548388,7087,0.347107
UC-sJFqC-AgTRJ9ZPyitS3iA,10000,0.261464,3547.4,0.276042
UC-sMcdzSwFJKfZBDOMRymjw,33400,0.4888976592270005,533,0.581633
UC-s_P2faPNf4yUG5mID9Nkw,61600,0.3737974987974988,1689,6.13223
UC-scZrJh8VSqjHNOfMhaVqw,17900,0.3512117125794645,6131.27,1.31579
UC-skqWsNNSQkxRFG-ouRi_g,14000,2.8328241758241757,32823.6,0.411576
UC-srcTLqT1bxfqUUwWbcFJA,51400,0.2400389105058366,24558.7,0.179487
UC-tPRZOAKkaUL0X2fEyrp9A,17200,0.23567441860465116,1436.5,1.94792
UC-tf6zl3dN2oTpvdTnBKScA,242000,0.48433608815426993,59875,0.986014
UC-u4pwf6__PBUxiJ04AdRVw,5780,1.0977199703410776,1810.5,0.36903
UC-uRBxKBiDtNa-mUsJJwjIg,26600,0.8274507697815969,26045.8,0.657143
UC-ucg_i-56z7DzfRB8fLnCw,4450,0.622541650523053,288.667,0.264198
UC-vCWWNuLldP5dTUwqGEIHg,8430,2.0818579478054566,3084.5,0.248428
UC-vHnR0RZzeWKSNsr6xuUfw,4340,4.572708653353814,10647,0.596154
UC-vK-nSUSLvaDr0Kn7YJtow,19600,2.9269472789115647,57368.2,1.47619
UC-wOkE9jGf30cuR7lX9E-dA,12700,0.6273753280839895,7520.53,0.444988
UC-wQZ3bZYq5o-DA2XR7IQsw,8440,0.2786176935229068,2084.5,0.300216
